,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
308,Stony Brook,CAA,1266.22,-10 🟠@@-10.38848877,1237.695,1492.311,45.85261
309,UT Martin,OVC,1264.071,-10 🟠@@-9.764099121,1263.024,1435.948,42.54696
310,Stephen F. Austin,Southland,1263.986,-13 🟠@@-12.6776123,1263.986,1435.586,62.01969
311,Mercyhurst,NSEC,1263.12,+11 🟢@@10.57897949,1203.896,1331.953,61.39212
312,Denver,Summit,1258.88,-7 🟠@@-7.207397461,1154.552,1353.242,62.79622
313,Utah Tech,WAC,1256.665,-4 🟠@@-4.235717773,1240.104,1418.034,55.18773
314,New Hampshire,ASEC,1251.483,-3 🟠@@-2.912719727,1172.734,1400.556,20.34627
315,Western Carolina,Southern,1250.414,-6 🟠@@-6.347290039,1250.414,1550.163,53.83422
316,IU Indy,Horizon,1246.834,-10 🟠@@-9.991699219,1136.202,1256.826,41.8009
317,Charleston Southern,Big South,1243.368,-10 🟠@@-10.30664063,1184.29,1308.254,42.4418
318,San Diego,WCC,1240.948,-13 🟠@@-12.70172119,1221.232,1461.969,28.5766
319,Morgan St.,MEAC,1240.719,-2 🟠@@-2.479248047,1159.353,1267.638,60.40008
320,Southern Miss,Sun Belt,1238.479,-16 🟠@@-15.55731201,1238.479,1418.948,57.5994
321,Florida A&M,SWAC,1235.853,-20 🟠@@-19.74383545,1134.511,1290.631,46.26151
322,Tennessee Tech,OVC,1234.765,-11 🟠@@-10.81097412,1210.161,1342.472,58.41337
323,Long Beach St.,Big West,1234.044,-19 🟠@@-19.24401855,1234.044,1507.109,55.83992
324,Houston Christian,Southland,1230.569,-14 🟠@@-13.6272583,1106.164,1321.026,54.82833
325,Army,Patriot,1230.231,-26 🟠@@-25.62145996,1212.707,1365.857,17.90748
326,Grambling,SWAC,1227.251,-6 🟠@@-6.050170898,1160.196,1372.676,34.02839
327,North Carolina Central,MEAC,1225.065,-15 🟠@@-14.65881348,1197.406,1332.561,67.6983
328,Lindenwood,OVC,1223.504,-15 🟠@@-14.75494385,1133.028,1238.259,58.23684
329,Alcorn St.,SWAC,1223.337,-13 🟠@@-13.34515381,1183.875,1297.03,68.04868
330,Stonehill,NSEC,1219.183,-21 🟠@@-20.6730957,1119.644,1303.388,58.67087
331,Coastal Carolina,Sun Belt,1218.617,-10 🟠@@-10.00811768,1178.403,1344.306,54.02103
332,Western Illinois,OVC,1214.591,+58 🟢@@58.05169678,1091.358,1403.282,36.04731
333,Holy Cross,Patriot,1212.053,-4 🟠@@-3.705810547,1212.053,1352.417,33.57098
334,Morehead St.,OVC,1210.163,-20 🟠@@-20.03295898,1180.474,1490.995,65.21773
335,Central Arkansas,A-Sun,1202.981,-2 🟠@@-1.875305176,1157.44,1256.875,43.96787
336,Wagner,NSEC,1200.584,-6 🟠@@-6.051879883,1179.349,1361.563,38.26719
337,Howard,MEAC,1199.603,-7 🟠@@-7.49005127,1182.536,1392.263,42.13983
338,Oral Roberts,Summit,1196.236,-18 🟠@@-18.41943359,1195.712,1353.24,65.58708
339,Bellarmine,A-Sun,1190.804,-4 🟠@@-3.753479004,1085.185,1293.739,54.48933
340,Cal State Fullerton,Big West,1185.063,-3 🟠@@-3.102783203,1185.063,1431.565,37.3976
341,Stetson,A-Sun,1179.397,-15 🟠@@-14.50354004,1179.397,1428.362,33.23956
342,Louisiana Monroe,Sun Belt,1176.612,-8 🟠@@-7.78338623,1136.172,1370.544,51.91793
343,North Carolina A&T,CAA,1176.399,-14 🟠@@-14.17657471,1157.188,1304.334,68.55962
344,NJIT,ASEC,1173.786,+26 🟢@@25.51922607,1144.922,1273.204,45.2034
345,West Georgia,A-Sun,1156.711,+16 🟢@@15.7366333,1140.974,1326.07,58.04566
346,Buffalo,MAC,1156.678,-1 🟠@@-1.186157227,1122.079,1248.178,44.03744
347,Detroit Mercy,Horizon,1152.365,-5 🟠@@-5.055541992,1152.365,1320.29,60.54316
348,South Carolina Upstate,Big South,1151.387,-20 🟠@@-19.63323975,1150.277,1331.218,40.15252
349,Southern Indiana,OVC,1138.222,-3 🟠@@-2.873291016,1091.165,1304.098,56.94201
350,Canisius,MAAC,1134.977,-5 🟠@@-5.3203125,1134.977,1393.886,37.89456
351,Green Bay,Horizon,1132.279,-4 🟠@@-4.364135742,1084.501,1440.973,56.86771
352,The Citadel,Southern,1128.766,-11 🟠@@-11.26867676,1128.766,1415.141,6.484097
353,East Texas A&M,Southland,1125.662,+16 🟢@@15.690979,1081.671,1240.892,54.69509
354,Northern Illinois,MAC,1123.961,+27 🟢@@26.74041748,1097.22,1353.425,33.46482
355,Sacramento St.,Big Sky,1123.69,-15 🟠@@-15.30426025,1123.69,1326.464,29.20267
356,MD Eastern Shore,MEAC,1103.497,-2 🟠@@-1.75793457,1049.407,1230.17,35.68037
357,Le Moyne,NSEC,1103.392,-2 🟠@@-2.179626465,1103.392,1302.663,58.59097
358,Coppin St.,MEAC,1090.74,-3 🟠@@-2.532409668,1063.67,1137.094,47.45263
359,Chicago St.,NSEC,1080.261,-3 🟠@@-2.83770752,1080.261,1290.562,23.57925
360,Alabama A&M,SWAC,1078.902,-26 🟠@@-25.60540771,1078.902,1267.812,53.41228
361,Arkansas-Pine Bluff,SWAC,1050.149,-7 🟠@@-6.625854492,990.2399,1203.525,29.8146
362,New Orleans,Southland,1045.885,-4 🟠@@-4.076477051,1045.885,1214.47,47.42303
363,Prairie View A&M,SWAC,1015.526,-6 🟠@@-6.477172852,1015.526,1210.611,40.64719
364,Mississippi Valley St.,SWAC,842.8953,-1 🟠@@-1.481323242,842.8953,1055.303,59.74654
